data,codigo_ibge,latitude,longitude,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
20030829,4100103,-23.3049,-50.3133,14.15,14.8,8.04,11.08,21.6,7.45,14.12,7.08,70.06,0.0,95.18,1.48,2.79,0.56,2.23,2.94,5.04,1.18,3.86,4.7,7.12,1.55,5.56,0.59,0.6,0.62,11.25,20.95,29.56,58.76,105.96,8.16,0.2,0.99
20030830,4100103,-23.3049,-50.3133,15.41,15.1,7.88,11.54,23.01,7.6,15.2,7.02,65.38,0.0,95.06,1.07,2.23,0.23,2.0,2.02,3.94,0.38,3.56,3.16,6.24,0.47,5.77,0.59,0.6,0.62,19.44,21.59,29.74,99.29,110.5,12.78,0.3,1.47
20030831,4100103,-23.3049,-50.3133,15.55,16.65,9.85,13.21,25.12,9.58,16.57,8.0,68.75,0.0,94.95,1.24,2.02,0.59,1.43,2.39,3.69,0.91,2.77,3.78,6.17,0.8,5.37,0.59,0.6,0.62,18.77,21.38,29.93,95.43,108.58,12.24,0.28,1.43
20030901,4100103,-23.3049,-50.3133,16.66,18.18,11.55,14.64,27.19,10.53,17.73,8.97,71.38,0.0,95.01,1.27,2.26,0.3,1.96,2.71,4.12,0.57,3.55,4.61,6.49,0.76,5.73,0.59,0.59,0.62,19.48,20.91,30.11,98.33,105.72,12.3,0.29,1.45
20030902,4100103,-23.3049,-50.3133,16.88,19.69,12.0,15.55,28.43,11.56,19.11,9.28,67.25,0.0,95.12,1.29,2.45,0.4,2.05,2.59,4.34,0.7,3.63,4.57,6.88,1.06,5.81,0.58,0.59,0.62,20.71,20.95,30.29,103.99,105.61,12.88,0.28,1.39
20030903,4100103,-23.3049,-50.3133,16.48,17.37,8.25,12.51,26.71,10.23,16.77,7.2,63.5,0.0,95.25,2.05,3.09,1.13,1.95,3.95,5.54,2.7,2.84,6.33,8.18,4.23,3.95,0.58,0.59,0.62,23.19,23.14,30.47,116.38,116.7,14.83,0.32,1.61
20030904,4100103,-23.3049,-50.3133,19.3,18.86,12.17,15.24,28.92,9.62,18.31,9.4,71.19,0.0,95.14,1.91,3.12,0.68,2.44,3.77,5.68,1.8,3.88,6.25,8.02,3.2,4.82,0.57,0.59,0.62,21.82,21.83,30.66,112.01,112.59,14.12,0.33,1.63
20030905,4100103,-23.3049,-50.3133,16.92,20.81,13.05,16.65,29.95,13.03,20.26,9.89,67.62,0.0,95.07,1.59,2.29,0.7,1.59,3.22,3.98,1.74,2.24,5.45,7.26,3.08,4.18,0.57,0.59,0.61,22.42,22.41,30.84,115.02,115.54,14.59,0.35,1.76
20030906,4100103,-23.3049,-50.3133,17.62,20.96,11.56,16.08,30.45,12.83,20.61,9.03,60.88,0.0,94.83,1.52,2.51,0.71,1.8,3.2,4.38,1.88,2.51,5.75,7.31,3.51,3.8,0.56,0.59,0.61,22.81,22.9,31.03,114.81,115.83,14.53,0.35,1.78
20030907,4100103,-23.3049,-50.3133,14.17,20.5,13.05,16.78,27.93,13.76,20.51,10.07,65.25,1.28,94.63,1.45,2.39,0.84,1.55,2.95,4.23,2.07,2.16,5.5,6.96,3.37,3.59,0.57,0.59,0.61,16.95,21.69,31.22,88.81,112.19,11.67,0.3,1.52
20030908,4100103,-23.3049,-50.3133,12.39,20.23,15.34,18.07,27.8,15.4,20.79,11.6,73.12,10.48,94.54,1.31,3.52,0.28,3.24,2.64,6.43,0.41,6.02,4.59,9.11,0.66,8.45,0.61,0.59,0.61,3.83,19.3,31.4,22.47,97.81,3.11,0.08,0.4
20030909,4100103,-23.3049,-50.3133,6.46,19.99,17.66,18.96,24.19,17.73,20.26,13.37,85.75,19.85,94.69,1.02,1.98,0.48,1.51,2.06,3.6,1.28,2.32,3.68,4.95,1.95,2.99,0.77,0.62,0.62,8.37,17.53,31.58,44.82,86.93,5.55,0.15,0.73
20030910,4100103,-23.3049,-50.3133,6.33,16.33,13.61,14.86,18.66,12.33,16.11,10.38,85.69,10.68,94.86,1.84,2.85,1.1,1.75,3.38,5.07,2.08,2.99,5.04,6.77,3.94,2.84,0.72,0.64,0.64,3.17,17.91,31.76,18.73,89.25,2.51,0.06,0.32
20030911,4100103,-23.3049,-50.3133,11.09,13.83,8.51,10.93,20.02,8.94,13.34,7.32,75.06,1.95,95.05,1.59,2.6,0.79,1.81,3.13,4.61,1.98,2.63,5.23,6.76,3.67,3.09,0.68,0.65,0.64,24.11,24.49,31.94,120.26,122.39,15.52,0.39,1.99
20030912,4100103,-23.3049,-50.3133,15.24,14.05,9.46,11.65,21.92,6.67,13.83,7.93,76.75,0.0,94.97,1.51,2.8,0.13,2.66,2.92,5.07,0.14,4.93,4.32,6.8,0.05,6.76,0.65,0.64,0.64,18.21,23.99,32.13,92.56,119.8,12.3,0.31,1.59
20030913,4100103,-23.3049,-50.3133,9.37,15.09,12.39,14.0,21.33,11.95,15.61,9.52,82.12,2.26,94.94,0.9,1.77,0.45,1.32,1.84,3.0,0.81,2.19,3.12,5.72,0.98,4.73,0.66,0.63,0.64,5.9,21.15,32.31,33.66,108.38,4.76,0.12,0.62
20030914,4100103,-23.3049,-50.3133,15.12,15.5,9.14,12.06,23.63,8.51,14.98,7.63,72.56,0.0,95.03,2.1,3.23,1.12,2.1,4.08,5.8,2.81,2.99,6.52,7.67,4.74,2.93,0.63,0.63,0.64,24.13,24.42,32.5,121.56,123.38,15.59,0.36,1.81
20030915,4100103,-23.3049,-50.3133,16.0,17.58,12.94,15.01,25.51,9.51,17.08,10.01,79.38,1.02,94.83,1.6,3.12,0.39,2.73,3.12,5.64,0.75,4.89,4.88,7.6,1.09,6.52,0.63,0.62,0.64,19.34,23.22,32.68,100.98,120.44,13.17,0.34,1.69
20030916,4100103,-23.3049,-50.3133,9.19,17.61,14.83,16.37,23.33,14.14,17.9,11.17,83.44,3.84,94.79,1.0,1.82,0.36,1.46,1.96,3.25,0.63,2.62,3.28,5.17,0.62,4.55,0.66,0.62,0.64,11.38,21.04,32.86,61.5,107.21,8.04,0.2,1.0
20030917,4100103,-23.3049,-50.3133,13.53,18.63,12.88,15.43,25.92,12.39,17.98,9.83,75.31,0.01,94.81,1.14,2.11,0.71,1.39,2.42,3.67,1.45,2.23,4.28,6.67,1.73,4.94,0.62,0.62,0.64,17.65,23.43,33.04,91.44,119.53,12.05,0.3,1.48
20030918,4100103,-23.3049,-50.3133,15.78,18.04,10.57,14.05,26.72,10.94,17.54,8.42,69.0,0.0,94.78,1.63,2.7,0.88,1.81,3.23,4.74,1.88,2.88,5.2,7.38,3.17,4.21,0.61,0.62,0.63,24.75,24.79,33.22,126.21,126.78,16.27,0.4,2.01
20030919,4100103,-23.3049,-50.3133,19.08,19.12,10.94,15.39,29.6,10.52,19.83,8.67,62.75,0.1,94.55,1.45,2.3,0.48,1.83,2.69,3.98,0.63,3.35,3.97,6.74,0.81,5.93,0.6,0.62,0.63,25.25,25.27,33.41,127.42,127.91,16.41,0.41,2.09
20030920,4100103,-23.3049,-50.3133,16.52,22.08,11.44,17.39,32.75,16.23,23.34,9.03,50.75,0.01,94.55,0.75,1.73,0.07,1.66,1.47,3.96,0.05,3.91,2.45,8.09,0.15,7.94,0.59,0.61,0.62,24.95,24.95,33.59,125.95,126.26,16.1,0.41,2.05
20030921,4100103,-23.3049,-50.3133,17.75,21.85,13.3,17.35,31.68,13.93,21.4,10.13,65.5,0.01,94.81,1.96,2.91,0.97,1.95,3.77,5.1,2.31,2.79,6.21,8.08,3.95,4.13,0.58,0.6,0.62,22.64,23.98,33.76,114.04,120.48,14.47,0.38,1.89
20030922,4100103,-23.3049,-50.3133,19.43,22.24,12.69,17.45,32.8,13.37,22.2,9.7,61.12,0.0,94.69,1.34,2.22,0.58,1.64,2.66,3.85,1.1,2.75,4.33,6.98,1.48,5.49,0.58,0.59,0.62,24.95,25.06,33.94,126.77,127.55,16.2,0.41,2.07
20030923,4100103,-23.3049,-50.3133,19.99,23.28,12.62,18.23,34.27,14.28,23.83,9.77,55.88,0.0,94.38,1.39,1.98,0.73,1.26,2.67,3.55,1.69,1.86,4.42,7.12,2.8,4.32,0.57,0.59,0.62,24.23,25.17,34.11,123.78,129.03,16.06,0.43,-999.0
20030924,4100103,-23.3049,-50.3133,15.84,24.96,12.91,19.76,35.47,19.62,26.62,10.07,46.56,0.0,94.19,1.3,2.49,0.43,2.06,2.35,4.42,0.58,3.84,3.4,5.86,0.56,5.3,0.56,0.59,0.62,20.63,23.85,34.28,104.77,119.99,13.35,0.34,1.75
20030925,4100103,-23.3049,-50.3133,10.77,22.23,15.98,18.93,28.08,17.3,21.87,12.08,71.12,3.96,94.32,1.91,2.91,0.79,2.12,3.66,5.14,2.13,3.01,5.78,7.51,3.87,3.64,0.59,0.59,0.62,19.29,21.87,34.46,99.44,111.55,12.34,0.31,1.59
20030926,4100103,-23.3049,-50.3133,6.34,18.59,16.19,17.4,21.82,15.48,18.6,12.21,86.19,19.29,94.35,1.06,2.27,0.21,2.05,2.02,4.34,0.41,3.94,3.0,6.61,0.55,6.05,0.72,0.61,0.62,3.98,19.21,34.63,22.82,94.66,2.92,0.07,0.36
20030927,4100103,-23.3049,-50.3133,10.44,20.19,16.47,18.25,26.12,15.67,20.03,12.45,81.75,0.8,94.09,0.59,0.88,0.16,0.72,1.16,1.97,0.23,1.74,1.76,3.33,0.08,3.26,0.66,0.63,0.63,18.81,23.97,34.81,99.82,125.64,13.16,0.35,1.76
20030928,4100103,-23.3049,-50.3133,14.34,21.94,15.69,18.53,29.29,14.95,21.37,11.84,73.88,0.02,94.28,1.19,1.95,0.65,1.3,2.47,3.37,1.17,2.19,4.52,6.62,1.57,5.06,0.62,0.62,0.63,23.5,25.23,34.98,121.69,130.18,15.79,0.41,2.05
20030929,4100103,-23.3049,-50.3133,14.14,22.12,15.3,18.37,29.55,15.4,21.43,11.54,71.81,0.08,94.41,1.2,2.2,0.44,1.76,2.43,3.88,0.68,3.2,4.5,5.89,1.03,4.86,0.6,0.62,0.62,16.51,25.41,35.16,86.16,129.43,11.74,0.3,1.52
20030930,4100103,-23.3049,-50.3133,16.21,21.73,13.5,17.34,29.65,13.44,21.19,10.25,65.25,0.01,94.68,1.45,2.92,0.09,2.84,2.76,5.2,0.1,5.1,4.2,7.42,0.21,7.22,0.59,0.61,0.62,24.08,26.16,35.33,124.79,135.15,16.41,0.41,2.07
20031001,4100103,-23.3049,-50.3133,16.23,21.16,12.37,16.55,29.69,13.46,20.73,9.52,63.75,0.0,94.66,1.45,2.6,0.56,2.04,2.73,4.7,0.93,3.77,4.11,6.91,1.12,5.79,0.59,0.6,0.62,26.71,26.78,35.51,138.45,138.88,18.07,0.45,2.24
20031002,4100103,-23.3049,-50.3133,18.8,21.78,11.51,16.61,31.83,13.02,21.7,8.97,59.12,0.0,94.58,1.34,2.43,0.62,1.8,2.59,4.37,0.94,3.43,4.02,7.21,1.3,5.91,0.58,0.59,0.62,26.61,27.07,35.67,136.43,138.77,17.8,0.45,2.31
20031003,4100103,-23.3049,-50.3133,20.39,23.87,13.8,18.73,34.64,14.25,23.67,10.5,60.44,0.0,94.56,1.29,2.24,0.11,2.13,2.56,4.03,0.27,3.77,4.38,7.52,0.28,7.23,0.57,0.59,0.62,26.34,26.96,35.84,133.79,136.69,17.34,0.45,2.27
20031004,4100103,-23.3049,-50.3133,18.02,24.48,14.52,19.22,33.8,15.79,23.91,10.99,61.56,0.0,94.61,1.65,3.05,0.73,2.31,3.23,5.48,1.42,4.06,5.28,7.41,1.81,5.6,0.56,0.59,0.61,26.26,26.34,36.0,136.12,136.57,17.61,0.45,2.24
20031005,4100103,-23.3049,-50.3133,16.29,25.21,15.96,20.26,33.72,17.43,24.55,12.15,64.38,4.81,94.35,1.3,2.52,0.68,1.84,2.58,4.45,1.32,3.12,4.21,6.53,1.47,5.07,0.59,0.59,0.61,24.62,25.46,36.16,128.83,132.83,16.62,0.45,2.28
20031006,4100103,-23.3049,-50.3133,7.49,22.01,18.04,19.97,26.35,18.86,21.89,13.79,80.44,3.86,94.22,0.9,2.06,0.09,1.98,1.88,3.61,0.1,3.51,3.34,4.96,0.19,4.77,0.62,0.59,0.61,17.58,24.61,36.32,94.42,128.7,12.48,0.34,1.72
20031007,4100103,-23.3049,-50.3133,11.33,23.87,17.94,20.54,29.48,18.15,23.14,13.67,75.5,2.23,94.38,0.99,1.52,0.12,1.39,1.99,2.95,0.17,2.78,3.55,6.53,0.26,6.27,0.6,0.59,0.61,11.03,24.15,36.48,60.45,123.09,8.11,0.21,1.05
20031008,4100103,-23.3049,-50.3133,10.31,23.74,18.35,20.76,29.31,19.0,23.16,14.04,76.81,1.49,94.26,1.45,1.98,0.84,1.15,2.79,3.46,2.0,1.46,4.8,7.0,3.94,3.06,0.59,0.59,0.61,23.51,25.6,36.64,124.66,135.2,16.31,0.44,2.26
20031009,4100103,-23.3049,-50.3133,11.17,24.2,19.44,21.77,29.94,18.77,24.1,15.14,77.31,14.72,94.02,1.52,3.13,0.52,2.61,3.05,5.77,0.87,4.9,5.23,7.99,1.6,6.4,0.68,0.61,0.62,9.27,25.38,36.8,51.11,133.03,6.96,0.18,0.9
20031010,4100103,-23.3049,-50.3133,7.62,19.83,15.73,17.65,22.19,14.56,19.56,12.08,79.81,0.9,94.33,2.75,4.59,0.62,3.97,5.26,8.35,1.66,6.69,7.62,11.09,3.5,7.59,0.62,0.62,0.62,10.02,24.76,36.96,56.7,129.35,7.92,0.22,1.08
20031011,4100103,-23.3049,-50.3133,8.74,17.22,12.8,14.79,22.17,13.42,16.77,9.77,78.5,11.07,94.68,2.43,3.29,1.56,1.73,4.61,6.27,3.43,2.84,6.77,8.77,5.03,3.74,0.7,0.62,0.62,7.88,26.86,37.12,46.12,141.91,6.88,0.2,0.99
20031012,4100103,-23.3049,-50.3133,15.78,18.76,11.43,14.72,26.55,10.77,18.01,8.91,69.25,0.03,94.9,1.92,3.12,0.88,2.24,3.77,5.67,2.35,3.32,6.11,8.13,4.08,4.05,0.62,0.62,0.62,21.14,28.22,37.26,110.38,145.36,15.06,0.4,2.0
20031013,4100103,-23.3049,-50.3133,15.69,19.65,12.26,15.56,27.4,11.72,18.87,9.4,69.19,0.01,94.98,2.14,3.34,0.99,2.34,4.14,6.08,2.45,3.62,6.53,8.34,4.23,4.11,0.6,0.62,0.62,25.63,28.12,37.41,132.58,144.34,17.47,0.45,2.32
20031014,4100103,-23.3049,-50.3133,15.99,18.7,9.71,13.83,26.92,10.93,17.94,7.93,63.81,0.01,95.03,2.2,3.28,0.98,2.3,4.22,5.92,2.41,3.52,6.48,8.09,4.0,4.09,0.59,0.61,0.62,28.42,29.1,37.56,144.79,147.7,19.02,0.48,2.48
20031015,4100103,-23.3049,-50.3133,17.47,18.98,9.2,13.69,27.91,10.44,18.17,7.69,62.0,0.0,95.04,2.28,3.2,0.95,2.25,4.37,5.76,2.54,3.22,6.72,8.21,4.82,3.39,0.58,0.6,0.62,29.03,29.26,37.7,146.88,147.55,19.18,0.47,2.36
20031016,4100103,-23.3049,-50.3133,18.86,19.04,8.36,13.32,28.79,9.92,18.27,7.26,59.38,0.0,94.95,2.17,3.44,0.8,2.63,4.2,6.23,2.41,3.81,6.61,8.36,4.23,4.12,0.57,0.59,0.61,27.0,29.11,37.85,137.34,148.04,18.17,0.47,-999.0
20031017,4100103,-23.3049,-50.3133,21.18,20.33,6.92,13.55,31.19,10.01,20.17,6.65,51.81,0.0,94.59,1.23,2.49,0.33,2.16,2.39,4.52,0.54,3.98,3.7,6.94,0.7,6.23,0.56,0.59,0.61,29.74,30.22,38.0,148.35,150.24,19.5,0.52,2.7
20031018,4100103,-23.3049,-50.3133,18.15,21.64,11.06,16.71,31.16,13.01,22.37,8.85,53.12,0.0,94.38,1.33,2.02,0.56,1.46,2.52,3.57,0.81,2.76,4.07,7.33,0.98,6.34,0.56,0.59,0.61,24.96,29.08,38.14,128.09,147.52,16.98,0.47,2.39
20031019,4100103,-23.3049,-50.3133,12.64,25.33,12.92,19.73,33.78,21.14,26.53,10.01,45.75,0.11,94.38,0.98,1.52,0.38,1.14,1.84,3.09,0.56,2.54,3.24,7.2,0.66,6.53,0.55,0.58,0.6,22.88,26.64,38.27,119.07,136.47,15.41,0.42,2.18
20031020,4100103,-23.3049,-50.3133,14.55,25.82,16.53,20.86,33.48,18.92,25.19,12.57,62.94,2.14,94.39,0.83,1.47,0.08,1.39,1.76,2.73,0.16,2.57,3.38,6.62,0.23,6.39,0.56,0.58,0.6,10.71,25.27,38.39,58.89,129.65,7.99,0.22,1.09
20031021,4100103,-23.3049,-50.3133,12.62,24.09,18.74,21.09,30.65,18.03,23.44,14.47,78.25,8.21,94.17,1.42,2.56,0.42,2.14,2.74,4.62,1.19,3.44,4.44,6.22,2.73,3.49,0.63,0.59,0.6,13.62,26.11,38.5,74.48,136.48,10.14,0.28,1.43
20031022,4100103,-23.3049,-50.3133,8.55,22.19,18.06,19.98,26.6,18.05,21.9,13.79,80.69,0.25,94.15,0.87,1.55,0.48,1.07,1.88,2.83,1.12,1.71,3.34,4.91,2.13,2.78,0.59,0.59,0.61,17.45,25.38,38.62,92.78,130.41,12.02,0.32,1.62
20031023,4100103,-23.3049,-50.3133,15.02,23.43,14.94,18.68,31.04,16.01,22.41,11.29,67.06,0.0,94.43,1.63,3.02,0.64,2.38,3.26,5.46,1.89,3.57,5.4,7.72,2.52,5.2,0.57,0.59,0.6,21.09,28.13,38.74,112.44,146.55,15.1,0.41,2.11
20031024,4100103,-23.3049,-50.3133,18.23,24.17,15.05,19.15,32.84,14.61,23.26,11.35,64.25,0.0,94.55,1.66,2.58,0.72,1.86,3.18,4.77,1.41,3.36,4.8,7.21,2.19,5.02,0.55,0.59,0.6,23.53,28.73,38.87,123.03,147.85,16.44,0.45,2.28
20031025,4100103,-23.3049,-50.3133,16.72,25.69,17.15,21.06,33.92,17.21,24.98,13.06,66.44,1.53,94.34,1.51,2.45,0.66,1.79,3.05,4.31,1.81,2.5,4.9,6.8,3.89,2.91,0.56,0.58,0.6,22.67,28.12,38.99,121.16,147.6,16.2,0.47,2.42
20031026,4100103,-23.3049,-50.3133,11.2,25.47,20.05,22.58,31.19,20.0,25.12,15.75,75.88,23.19,94.09,1.34,2.46,0.63,1.83,2.73,4.48,1.2,3.27,4.71,6.06,1.82,4.25,0.68,0.59,0.6,12.6,26.89,39.11,70.0,140.19,9.6,0.28,1.45
20031027,4100103,-23.3049,-50.3133,8.73,21.87,17.3,19.4,25.87,17.14,21.51,13.12,78.25,15.64,94.34,1.93,2.91,0.6,2.3,3.66,5.76,1.3,4.47,5.58,8.77,2.84,5.93,0.68,0.62,0.62,14.13,27.08,39.22,79.14,142.74,11.0,0.34,1.73
20031028,4100103,-23.3049,-50.3133,8.1,19.94,16.59,18.08,24.01,15.91,19.58,12.51,83.75,8.29,94.77,2.12,3.03,1.02,2.01,4.03,5.58,2.07,3.51,6.13,8.52,4.41,4.12,0.73,0.65,0.63,9.66,27.84,39.32,56.1,147.26,8.17,0.26,1.3
20031029,4100103,-23.3049,-50.3133,13.47,22.69,16.77,19.4,28.9,15.44,22.03,12.7,74.81,1.27,94.63,1.38,2.66,0.57,2.09,2.7,4.82,1.51,3.3,4.32,6.91,2.03,4.88,0.66,0.64,0.63,21.62,28.38,39.42,116.59,149.93,15.56,0.44,2.23
20031030,4100103,-23.3049,-50.3133,13.16,23.52,16.57,19.76,29.76,16.6,22.96,12.51,70.31,0.01,94.5,1.48,2.77,0.63,2.13,2.85,5.05,1.27,3.78,4.4,7.09,1.82,5.27,0.62,0.62,0.62,26.75,29.41,39.55,140.62,153.38,18.65,0.49,2.52
20031031,4100103,-23.3049,-50.3133,14.3,24.55,16.15,20.12,31.05,16.74,24.1,12.21,64.88,0.41,94.33,1.04,2.23,0.3,1.93,1.95,4.07,0.43,3.63,2.89,6.62,0.59,6.03,0.6,0.62,0.62,26.27,29.26,39.69,139.34,152.81,18.51,0.5,2.56
20031101,4100103,-23.3049,-50.3133,13.16,24.49,17.44,20.65,31.14,17.98,23.87,13.31,70.94,4.58,94.23,0.94,1.65,0.2,1.45,2.02,3.02,0.33,2.7,3.51,5.02,0.35,4.66,0.62,0.61,0.62,16.03,27.9,39.84,88.61,146.76,12.33,0.35,1.8
20031102,4100103,-23.3049,-50.3133,7.18,17.45,13.33,15.21,20.38,13.2,17.08,10.19,79.19,3.75,94.56,2.32,3.06,1.8,1.26,4.43,6.02,3.45,2.58,6.45,8.77,4.45,4.32,0.64,0.62,0.62,8.96,28.71,39.98,52.16,152.74,7.77,0.23,1.16
20031103,4100103,-23.3049,-50.3133,16.7,18.9,10.23,14.05,26.87,10.16,17.88,8.24,64.56,0.01,94.62,1.8,2.82,0.88,1.95,3.53,5.16,2.22,2.94,5.62,7.85,3.32,4.53,0.6,0.61,0.62,23.72,30.6,40.11,124.63,157.97,16.98,0.48,2.44
20031104,4100103,-23.3049,-50.3133,16.81,18.93,9.08,13.53,27.12,10.3,17.98,7.63,61.38,0.0,94.62,2.11,3.3,0.85,2.45,4.05,6.05,2.23,3.82,6.29,8.47,3.74,4.72,0.59,0.6,0.62,31.05,31.36,40.23,159.22,159.6,20.99,0.59,3.1
20031105,4100103,-23.3049,-50.3133,14.93,20.0,11.32,15.17,27.28,12.36,19.02,8.91,64.69,0.1,94.57,1.73,2.85,0.51,2.34,3.36,5.23,0.74,4.48,5.2,8.19,0.7,7.48,0.58,0.59,0.62,22.99,29.86,40.33,121.09,153.38,16.22,0.46,2.38
20031106,4100103,-23.3049,-50.3133,16.19,21.8,12.87,16.83,29.13,12.95,20.79,9.89,65.31,0.16,94.3,1.27,2.55,0.26,2.29,2.58,4.69,0.5,4.19,4.09,6.57,0.66,5.91,0.57,0.59,0.61,26.44,29.58,40.43,137.87,152.71,18.27,0.52,2.67
20031107,4100103,-23.3049,-50.3133,15.34,23.45,13.56,17.96,30.22,14.88,22.37,10.38,63.06,0.62,94.11,1.16,1.7,0.55,1.16,2.33,3.52,1.09,2.42,3.85,6.89,1.36,5.53,0.57,0.59,0.61,21.26,30.04,40.52,114.37,156.27,15.77,0.45,2.28
20031108,4100103,-23.3049,-50.3133,16.9,24.22,13.3,18.32,32.38,15.48,23.35,10.19,59.75,0.06,94.13,1.16,1.92,0.62,1.3,2.32,3.64,1.17,2.47,3.66,6.71,1.35,5.36,0.55,0.59,0.61,28.6,30.28,40.62,149.92,157.21,19.87,0.53,2.72
20031109,4100103,-23.3049,-50.3133,20.65,25.45,12.21,18.29,35.23,14.58,24.37,9.52,54.38,0.0,94.23,0.95,1.56,0.11,1.46,2.14,2.99,0.23,2.77,4.3,7.45,0.36,7.1,0.55,0.58,0.6,30.12,30.58,40.71,157.66,158.84,20.77,0.59,3.03
20031110,4100103,-23.3049,-50.3133,19.09,27.55,14.33,20.49,36.32,17.23,26.65,10.93,52.94,0.52,94.32,1.19,2.37,0.2,2.16,2.48,4.3,0.41,3.9,4.33,7.83,0.38,7.45,0.55,0.57,0.6,27.57,29.65,40.8,146.72,156.07,19.35,0.55,2.85
20031111,4100103,-23.3049,-50.3133,18.18,27.35,14.8,20.65,36.3,18.12,26.48,11.29,54.62,0.01,94.24,1.7,2.94,0.67,2.26,3.48,5.41,1.82,3.59,5.65,7.52,3.05,4.47,0.53,0.57,0.59,29.89,30.37,40.89,157.48,158.77,20.73,0.59,3.09
20031112,4100103,-23.3049,-50.3133,16.6,28.02,18.47,22.94,35.98,19.37,27.41,14.28,62.69,1.47,94.05,1.73,3.23,0.78,2.45,3.53,6.08,1.92,4.15,6.3,8.19,3.63,4.55,0.54,0.56,0.59,20.21,29.85,40.98,109.78,158.47,14.98,0.45,2.31
20031113,4100103,-23.3049,-50.3133,12.55,23.48,17.94,20.65,29.07,16.52,23.37,14.1,74.44,16.91,94.09,1.4,2.13,0.88,1.26,2.91,3.91,2.17,1.73,5.23,6.75,3.27,3.48,0.64,0.59,0.6,13.35,29.3,41.07,75.15,154.98,10.7,0.31,1.6
20031114,4100103,-23.3049,-50.3133,16.34,23.9,14.44,18.69,31.48,15.14,22.95,10.93,62.62,0.04,94.37,1.45,3.05,0.31,2.73,2.9,5.77,0.51,5.27,4.7,8.03,0.59,7.44,0.57,0.59,0.6,21.79,30.47,41.15,115.46,157.8,15.76,0.45,2.25
20031115,4100103,-23.3049,-50.3133,16.88,24.73,16.34,20.05,32.51,15.62,23.75,12.45,67.12,1.85,94.44,1.54,2.59,0.66,1.94,3.07,4.84,1.65,3.2,4.62,7.48,2.15,5.34,0.57,0.59,0.6,23.73,29.59,41.23,127.13,154.7,17.0,0.49,2.52
20031116,4100103,-23.3049,-50.3133,9.06,23.26,20.16,21.62,27.55,18.49,23.08,15.87,84.38,37.18,94.29,1.55,1.89,1.07,0.83,3.09,3.77,2.46,1.32,4.9,6.52,3.78,2.73,0.75,0.61,0.61,18.8,28.8,41.3,103.95,153.9,14.19,0.42,2.16
20031117,4100103,-23.3049,-50.3133,7.65,23.98,20.83,22.3,28.38,20.73,23.76,16.42,84.69,13.15,94.06,1.84,2.51,1.21,1.3,3.66,4.8,2.55,2.25,5.81,7.54,4.47,3.07,0.76,0.66,0.64,10.37,28.5,41.38,59.69,152.35,8.46,0.23,1.2
20031118,4100103,-23.3049,-50.3133,9.64,24.37,20.27,22.26,29.44,19.81,24.26,15.87,80.25,4.06,93.93,2.23,3.82,0.66,3.16,4.51,7.42,1.71,5.71,7.13,10.62,3.95,6.67,0.68,0.65,0.64,11.9,28.25,41.45,67.87,149.86,9.55,0.27,1.35
20031119,4100103,-23.3049,-50.3133,12.26,20.16,12.43,16.13,26.45,14.19,19.84,9.77,67.0,1.31,94.05,1.73,2.83,0.7,2.12,3.51,5.27,2.28,2.99,5.57,7.09,4.31,2.77,0.65,0.64,0.63,27.66,32.15,41.52,143.73,164.61,19.44,0.57,2.95
20031120,4100103,-23.3049,-50.3133,18.55,21.57,12.35,16.69,30.23,11.67,21.04,9.58,63.81,0.0,94.39,1.04,1.73,0.7,1.04,2.34,4.11,1.62,2.48,4.23,7.95,2.23,5.72,0.62,0.62,0.63,31.56,31.88,41.59,164.69,164.94,21.8,0.61,3.16
20031121,4100103,-23.3049,-50.3133,14.44,22.61,14.46,18.19,29.91,15.47,21.92,10.86,66.19,0.0,94.73,2.12,3.3,0.98,2.33,4.27,6.23,2.3,3.92,6.74,8.6,4.49,4.11,0.59,0.62,0.62,28.8,30.75,41.66,151.91,160.2,20.14,0.58,3.01
20031122,4100103,-23.3049,-50.3133,15.6,23.57,17.07,19.85,30.79,15.19,22.63,13.0,73.38,0.14,94.58,1.48,2.49,0.6,1.89,2.97,4.65,1.62,3.02,4.59,6.88,2.39,4.48,0.59,0.6,0.62,22.61,30.08,41.72,121.78,157.39,16.52,0.47,2.41
20031123,4100103,-23.3049,-50.3133,12.27,25.45,19.01,21.83,31.15,18.87,24.66,14.65,73.62,4.98,94.36,1.09,1.52,0.63,0.89,2.23,2.75,1.59,1.16,3.92,6.35,2.41,3.94,0.62,0.6,0.62,21.21,29.57,41.79,115.39,156.23,15.88,0.47,2.4
